#;sdata_version;0.8.3;-;str;;
#;Time;;s;float;Time;
#;Displacement;;mm;float;Actuator displacement;
#;Force;;N;float;Load washer force;
#;Estress;;MPa;float;Engineering stress;
#;Estrain;;mm/mm;float;Engineering strain;
#;Tstress;;MPa;float;True stress;
#;Tstrain;;mm/mm;float;True strain;
#;EstrainRate;;mm/mm/s;float;Engineering strain rate computed from smooth spline;
#;Experiment;E191121-WEL-002;nan;str;NCAL Experiment descriptor;
#;Specimen;S191107-ERR-177;nan;str;NCAL Specimen descriptor;
#;Material;DP980;nan;str;describes heat treatment. Retained for compatibility with other scripts;
#;Geometry;A36R19W18;nan;str;description of major specimen geometry components by concatenating reduced parallel length, fillet radius and width;
#;Path;TCT;nan;str;strain path for test C=compression, T =tension;
#;NumisheetID;C00FeDP980_Numisheet2020R03T1.409W17.91-S;nan;str;Numisheet 2020 Material designation, per Tom Stoughton 2019-11-19 email;
#;IntendedRate;0.00025;mm/s;float;Intended actuator velocity;
#;ASPID;Lot #45: 1.40N CR700Y980T-DP-EGxxGxxG;nan;str;ASP Materials Bank ID;
#;dedt;;mm/mm/s;float;achieved specimen engineering strain rate;
#;dedtnomlabel;0.00025;mm/mm/s;float;convenient axis label;
#;StrainA;;mm/mm;float;Engineering strain based on a gauge length equal to the reduced parallel length;
#;StrainfG;;mm/mm;float;Engineering strain based on a gauge length equal to 4/7 of the reduced parallel length;
#;eyyA;;mm/mm;float;Average engineering strain in the entire reduced parallel length;
#;eyyfgA;;mm/mm;float;Average engineering strain in the central 4/7 of the reduced parallel length;
#;name;Numisheet_2020_TensionCompression_DP980_E191121-WEL-002;-;str;;
#;uuid;e84f95393cb0308899d11a9fced291bf;-;str;;
index;Time;Displacement;Force;Estress;Estrain;Tstress;Tstrain;StrainA;StrainfG;eyyA;eyyfgA
12065;1090.0503;-42.1688;24643.5;976.4439412175481;0.0625190797618846;1037.49031786154;0.0606425790781525;0.0625190797618846;0.0658103011738878;0.0628521133482652;0.065879214298458
12066;1091.0506;-42.163999999999994;24638.5;976.245827325199;0.0627785645235147;1037.53313898675;0.0608867658287632;0.0627785645235147;0.06617090718084;0.0631227304660716;0.0662137164412554
12067;1092.0506;-42.1536;24645.5;976.523186774487;0.0630427556264099;1038.0858994018301;0.06113532021266299;0.0630427556264099;0.0663985729209086;0.0633769909505542;0.0664619623068651
12068;1093.0507;-42.14;24657.0;976.9788487268879;0.0632908349303802;1038.81265577213;0.0613686601798231;0.0632908349303802;0.0667003074889192;0.0636373759632905;0.066776621134192
12069;1094.0507;-42.1376;24660.0;977.0977170622971;0.0635652019062802;1039.20713072953;0.061626662576477996;0.0635652019062802;0.0669639748106967;0.0638985363188535;0.0670323823941702
12070;1095.0505;-42.1248;24663.5;977.2363967869411;0.0638060733002053;1039.59001395196;0.0618531123718302;0.0638060733002053;0.0672660044736391;0.0641529835203742;0.0673228408345544
12071;1096.0505;-42.1168;24666.5;977.35526512235;0.0640555093872428;1039.9602544820698;0.0620875600353526;0.0640555093872428;0.0674958096519651;0.0644055170347608;0.0675628587439665
12072;1097.0508;-42.1032;24671.5;977.553379014699;0.0642887488764141;1040.39906271146;0.0623067346253649;0.0642887488764141;0.067771354544757;0.0646505320882672;0.0678443843643912
12073;1098.0509;-42.0928;24675.0;977.692058739343;0.0645406441327613;1040.7929339738698;0.0625433860529993;0.0645406441327613;0.0680409975389083;0.0649090226074441;0.0681127509742482
12074;1099.0507;-42.0952;24674.5;977.672247350108;0.0648061920187236;1041.03146274326;0.0627928032759997;0.0648061920187236;0.0683219279142101;0.0651708413676352;0.0683918016547089
12075;1100.0507;-42.0768;24676.5;977.751492907047;0.0650492257856622;1041.35347053143;0.0630210194882008;0.0650492257856622;0.0685635368898174;0.0654065543975377;0.0686492365303873
12076;1101.0507;-42.0616;24689.5;978.266589027153;0.065291326764242;1042.13891255387;0.0632483080119368;0.065291326764242;0.0688306715770462;0.065650568820929;0.0689017498394156
